"","X","...1","Unique.Sample.Identifier","Sampling.Location","Matrix","Sediment.type","Depth.Sample..m.","Sampling.Location.specific","Mean.slope","Depth.river","Active.overflow","Nearby.vegetation","NaturalBank","width","meandering","Outside_insideBend","shortest.distance.from.shore","radius..degree.","radius..km.","area..km..","RWZI..nr.","Waste.facilities..nr.","agriculture..km..","industry...km..","transport...km..","urban...km..","water...km..","nature...km..","recreation...km..","waste...km..","human.foot.print","ecotope","pixels.at.flood.risk","km..at.flood.risk","X..buffer.at.flood.risk","total.flooding.depth.in.buffer","average.flooding.depth.in.buffer","pop20","pop22","pop21","Pop_AVG","pop_dens","tot_precip","mean_temp","mean_windspeed","mean_winddirection","mean_pressure","mean_cloudiness","tot_precip_mean","mean_temp_mean","mean_windspeed_mean","mean_winddirection_mean","mean_pressure_mean","mean_cloudiness_mean","tot_precip_TOT","Proximity_sea","Port_river","Natural_NonNatural","TotalPointDischarge","PointDischarge","PopulationDensity","HFP","Date","Season"
"1",1,132,"MAC_S_002","River Scheldt (Doel)","Sediment","Sand",9,"Doel",0.0374158921544889,843,0,"Yes","Yes",1245.45,"Yes","Middle",431.8,0.025,2.18509686118416,15,0,0,1.265,4.679,0.765,0.513,6.426,1.332,0,0,30.9240506329114,"Diep Subtidaal",146,1.86588,0.0492608548121032,228.88799649477,1.56772600338884,NA,NA,NA,NA,24170,0,1.28695652173913,1.20326086956522,100.32,1004.27391304348,NA,0.766666666666663,1.47759661835749,1.89173973429952,131.048300395256,1001.74963768116,NA,2.29999999999999,"Inland","River","Highly Natural",0,"Low","Moderate","Moderate","2020-12-08","Winter"
"2",2,133,"MAC_S_003","River Scheldt (Antwerpen)","Sediment","Sludge",11,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,38829,0,1.33478260869565,1,137.368421052631,1003.82173913043,4.82608695652174,0,1.37826086956522,1.65277777777777,142.872807017544,1001.34057971014,5.67814009661835,0,"Inland","River","Moderate natural",9,"High","High","Moderate","2020-12-08","Winter"
"3",3,134,"MAC_S_004","Port of Oostende (A)","Sediment","Sludge",4,"Ostend (A)",0.37946545682972,NA,0,"No","No",18.64,"No",NA,502.047,0.025,2.18509686118416,15,0,0,0,2.009,0.208,3.826,8.503,0.004,0.457,0,38.55,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,12185,0.5,15.3681818181818,4.77272727272726,312.727272727272,1015.73636363636,5.18181818181817,6.16666666666667,15.8685606060606,5.41035353535353,264.659090909091,1015.00517676767,6.6300505050505,18.5,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2020-07-10","Summer"
"4",4,135,"MAC_S_005","Port of Oostende (B)","Sediment","Sludge",9.2,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18355,0.5,15.3681818181818,4.77272727272726,312.727272727272,1015.73636363636,5.18181818181817,6.16666666666667,15.8685606060606,5.41035353535353,264.659090909091,1015.00517676767,6.6300505050505,18.5,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2020-07-10","Summer"
"5",5,136,"MAC_S_006","Port of Oostende (C)","Sediment","Sludge",4,"Ostend (C)",0.313189285616458,NA,1,"No","No",12.742,"No",NA,116.333,0.025,2.18509686118416,15,1,0,0.869,4.401,0.523,5.76,2.969,0.069,0.418,0,34.3773734177215,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,23412,0.5,15.3681818181818,4.77272727272726,312.727272727272,1015.73636363636,5.18181818181817,6.16666666666667,15.8685606060606,5.41035353535353,264.659090909091,1015.00517676767,6.6300505050505,18.5,"Coastal","Port","Low natural",2,"Moderate","Moderate","Moderate","2020-07-10","Summer"
"6",6,137,"MAC_S_007","Port of Nieuwpoort (A)","Sediment","Sand",4.6,"Nieuwpoort (A)",0.59815727776823,NA,2,"No","No",109.485,"No",NA,25.323,0.025,2.18509686118416,15,0,0,1.068,0.408,0,2.138,9.052,1.397,0.971,0,59.6842105263158,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,2278,1.2,12.7681818181818,7.81818181818182,267.727272727272,1012.07727272727,6,5.33333333333333,12.9366161616161,7.82828282828283,240.770202020202,1002.37575757576,6.18055555555555,16,"Coastal","Port","Highly Natural",2,"Moderate","Low","High","2020-10-07","Autumn"
"7",7,138,"MAC_S_008","Port of Nieuwpoort (B)","Sediment","Sludge",4,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4439,1.2,12.7681818181818,7.81818181818182,267.727272727272,1012.07727272727,6,5.33333333333333,12.9366161616161,7.82828282828283,240.770202020202,1002.37575757576,6.18055555555555,16,"Coastal","Port","Low natural",0,"Low","Low","High","2020-10-07","Autumn"
"8",8,139,"MAC_S_009","Port of Nieuwpoort (C)","Sediment","Sludge",2.5,"Nieuwpoort (C)",0.324895425986018,NA,1,"No","No",20.61,"No",NA,96.6,0.025,2.18509686118416,15,0,1,5.45,1.543,0.223,3.562,1.066,0.443,1.374,0,41.8,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4967,1.2,12.7681818181818,7.81818181818182,267.727272727272,1012.07727272727,6,5.33333333333333,12.9366161616161,7.82828282828283,240.770202020202,1002.37575757576,6.18055555555555,16,"Coastal","Port","Low natural",2,"Moderate","Low","High","2020-10-07","Autumn"
"9",9,140,"MAC_S_010","River Scheldt (Temse)","Sediment","Sand",4,"Temse",0.692196088302361,470,3,"Yes","Yes",138.086,"No",NA,32.053,0.025,2.18509686118416,15,3,0,7.248,0.19,0,4.425,1.478,1.705,0,0,50.8391167192429,"Matig Diep Subtidaal",440,5.6232,0.148457370666612,822.980994567275,1.87041135128926,NA,NA,NA,NA,9459,0,9.38260869565216,3.8695652173913,222.272727272727,997.265217391303,7.04347826086956,0,6.81642512077294,3.30374396135265,197.007575757576,997.307850241545,7.36171497584541,0,"Inland","River","Low natural",6,"High","Low","High","2021-02-03","Winter"
"10",10,141,"MAC_S_011","Port of Nieuwpoort (A)","Sediment","Sludge+sand",10,"Nieuwpoort (A)",0.59815727776823,NA,2,"No","No",109.485,"No",NA,25.323,0.025,2.18509686118416,15,0,0,1.068,0.408,0,2.138,9.052,1.397,0.971,0,59.6842105263158,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,2282,2.6,6.59565217391303,9.34782608695651,232.608695652173,1004.99130434783,5.26086956521738,1.23333333333333,7.09160628019323,10.1020531400966,221.980676328502,1005.58737922706,5.90640096618357,3.7,"Coastal","Port","Highly Natural",2,"Moderate","Low","High","2021-03-12","Spring"
"11",11,142,"MAC_S_012","Port of Nieuwpoort (B)","Sediment","Sludge",5,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4448,2.6,6.59565217391303,9.34782608695651,232.608695652173,1004.99130434783,5.26086956521738,1.23333333333333,7.09160628019323,10.1020531400966,221.980676328502,1005.58737922706,5.90640096618357,3.7,"Coastal","Port","Low natural",0,"Low","Low","High","2021-03-12","Spring"
